gene	log2_fold_change	p_value	q_value
434_gene	4.82420335141405	6.83442971298732e-123	7.06269966540109e-119
812_gene	3.71708997488294	3.09151564632125e-58	1.59738613445419e-54
3681_gene	2.80002525599444	1.48699642813167e-57	5.12220702943755e-54
3682_gene	2.77370246309402	5.94545183994838e-56	1.53600748285066e-52
3683_gene	2.74700556997159	7.10821532278775e-54	1.46912594291377e-50
3844_gene	-5.29481696820397	4.98597548645718e-52	8.58751177950808e-49
9929_gene	-2.68485910967419	7.3935885449727e-41	1.09150491462497e-37
455_gene	3.46882438073134	2.24535639275947e-37	2.90043912034704e-34
5979_gene	-3.0111930983359	2.03144740927516e-36	2.3325530586055e-33
3843_gene	-4.21320200232628	2.77519205786468e-36	2.86788347259736e-33
6433_gene	4.22382855973098	1.55733737098591e-33	1.46304767197895e-30
7222_gene	2.28893618597098	3.31768606032143e-33	2.85708064561347e-30
7338_gene	2.52750328195142	4.36486623244165e-31	3.46973289585015e-28
9283_gene	2.42422415560731	5.62825215994817e-31	4.1544541300646e-28
6028_gene	2.69969445752186	2.85552621119331e-29	1.96726719109811e-26
12_gene	2.29234924322259	7.42533373401548e-29	4.79583742545725e-26
7336_gene	2.48273872594988	2.13870297656782e-28	1.30007979763834e-25
3648_gene	-13.3038198453666	1.38053265983036e-27	7.50864447720365e-25
5454_gene	3.6636515999244	1.34333218961291e-27	7.50864447720365e-25
4913_gene	2.51506611984198	5.67046564670383e-27	2.92992959965187e-24
5317_gene	3.47517317401897	1.77183060931584e-26	8.71909405555711e-24
6538_gene	2.45883765611354	2.84354745781816e-26	1.3356917922315e-23
7335_gene	2.43563784529356	5.48004786697835e-25	2.46220933292845e-22
3080_gene	23.9948159994449	8.61353588681115e-25	3.70884499392943e-22
7486_gene	2.58749794734023	1.62187046443202e-24	6.70416375177619e-22
5389_gene	-2.09794592389779	1.69879730893536e-24	6.75206591943769e-22
4483_gene	3.71445915080202	2.07002316594645e-24	7.92282199884838e-22
7221_gene	2.61408407100582	6.40501201725014e-24	2.36390693522368e-21
1840_gene	3.20719120753714	6.82214941248859e-24	2.43103765616059e-21
668_gene	3.91145340051072	2.69196176374007e-23	9.27291095549662e-21
10198_gene	2.14764100696532	8.80807819750754e-23	2.93621548687235e-20
7988_gene	-2.17249629203758	7.85612845126427e-22	2.53703848173015e-19
10717_gene	3.74532266908765	1.00846584234343e-21	3.15802606508395e-19
156_gene	3.03052672192393	1.36337219477252e-21	4.14384948846449e-19
7227_gene	-2.46383641410372	1.52811380252917e-21	4.51186515295325e-19
8341_gene	-3.73680928801661	4.00534925210065e-21	1.14975775475578e-18
10587_gene	-1.64150590079098	7.68514798686468e-21	2.14644106206107e-18
1945_gene	1.58566588875019	8.6772434766696e-21	2.35975352862904e-18
9058_gene	2.10045966342975	8.95309801616321e-21	2.37234140766745e-18
3373_gene	3.7400154967807	1.05033536914715e-20	2.68987604490067e-18
3809_gene	-1.57031171157511	1.06720454655436e-20	2.68987604490067e-18
9230_gene	-1.91303426703733	1.10350470230515e-20	2.71514704610035e-18
6173_gene	-2.16342370710236	8.7526123564987e-20	2.10347665330367e-17
8945_gene	-2.26343050669457	1.58092730112827e-19	3.71302334769536e-17
10357_gene	-2.74705198590183	2.14864989182181e-19	4.93425510713036e-17
2015_gene	-2.05326723387258	2.41482792031886e-19	5.42496341925545e-17
1453_gene	-2.34831972926325	3.49849721170396e-19	7.69222769909548e-17
3982_gene	3.57523775823962	1.43256218052368e-18	3.08418699448577e-16
9059_gene	2.04009175659344	2.01822466032582e-18	4.25639462036877e-16
5147_gene	-2.29494007477908	2.50091507881755e-18	5.16889128490012e-16
10590_gene	-1.77849180942873	3.01482778144151e-18	6.10886868498365e-16
10604_gene	-2.12637688948213	4.12890863120388e-18	8.20541188362709e-16
3624_gene	2.65894356323944	5.7141509925905e-18	1.11415162938548e-15
5196_gene	-2.65729334515593	6.93260644275177e-18	1.32669546258142e-15
10733_gene	-2.17509827452107	9.11129835296099e-18	1.71193013053634e-15
4975_gene	-2.43618721290632	1.26625972894183e-17	2.33670143551515e-15
6777_gene	-2.93586012582442	1.30378923059577e-17	2.36374700157486e-15
9206_gene	2.36953273125197	2.10674279196496e-17	3.75363448485619e-15
5356_gene	-2.03785075167427	3.23697442832215e-17	5.57514895704685e-15
5868_gene	2.33687681778357	3.1992611949999e-17	5.57514895704685e-15
1959_gene	5.22806845882282	3.32344294598385e-17	5.63023924652412e-15
1064_gene	1.67275274330742	6.89859087893879e-17	1.14983932488635e-14
38_gene	2.8266968417341	1.00034381257783e-16	1.64088142209195e-14
8249_gene	2.19560145559314	1.25025022772038e-16	2.01876341457225e-14
3711_gene	-2.1916686173727	1.46336645348768e-16	2.32652752774487e-14
5375_gene	2.20169711366624	1.52471199684678e-16	2.3873293599113e-14
2143_gene	1.98685628838786	1.70564069272516e-16	2.63075983860028e-14
2493_gene	34.8911888810328	2.1227762624577e-16	3.22154290424469e-14
9048_gene	2.07598760616246	2.15102051860735e-16	3.22154290424469e-14
537_gene	-1.32216238130266	3.7285831483706e-16	5.47642494743182e-14
1619_gene	1.56487862460846	3.78777893917278e-16	5.47642494743182e-14
2144_gene	1.98659075862603	3.81558540947446e-16	5.47642494743182e-14
9573_gene	-1.44286874559336	4.54871933201995e-16	6.43924185987592e-14
6363_gene	2.02071868859178	7.1991863896611e-16	1.00535665068592e-13
1484_gene	-2.70301386550604	9.44638918406259e-16	1.30158647770804e-13
6693_gene	1.74553150015105	1.12705132131353e-15	1.53249320453342e-13
5069_gene	1.40148377989109	2.34229437918037e-15	3.14354157330519e-13
5181_gene	-33.3972546445613	3.73706072767506e-15	4.95112635381975e-13
3416_gene	-1.45992638791632	3.99925262301268e-15	5.14722538160789e-13
9057_gene	2.77149726920008	3.97199437152419e-15	5.14722538160789e-13
9616_gene	-1.43111525338397	4.03450025072808e-15	5.14722538160789e-13
8583_gene	2.48238357512222	4.31107816882948e-15	5.43300997520534e-13
8613_gene	2.01094712108781	4.43125284014033e-15	5.51717672891689e-13
2145_gene	1.96826190454208	4.73281108409399e-15	5.82248449321753e-13
