10mUP: 10mup_GO
GO ID,GO name,GO namespace,Gene ID(s),Exact p-value,Adjusted p-value,# genes / category,# genes / input
GO:0016491,oxidoreductase activity,MF,NCU07267 | NCU08791 | NCU08828 | NCU04923 | NCU04510 | NCU01528 | NCU03339 | NCU03608 | NCU06232 | NCU03112 | NCU04791 | NCU09040 | NCU00028 | NCU00260 | NCU00742 | NCU00936 | NCU01057 | NCU01107 | NCU01140 | NCU01399 | NCU02480 | NCU02603 | NCU03566 | NCU03803 | NCU03935 | NCU04443 | NCU04621 | NCU04832 | NCU05518 | NCU05850 | NCU06061 | NCU06080 | NCU06327 | NCU06441 | NCU06558 | NCU06652 | NCU07022 | NCU07042 | NCU07318 | NCU07332 | NCU07563 | NCU07690 | NCU07723 | NCU07853 | NCU08044 | NCU08272 | NCU08669 | NCU08977 | NCU09035 | NCU09111 | NCU09533 | NCU09560 | NCU09727 | NCU09735 | NCU09738 | NCU10572 | NCU11395 | NCU12058 | NCU05298 | NCU04720 | NCU10775 | NCU03100 | NCU06025 | NCU06031 | NCU02133 | NCU06211 | NCU03857 | NCU03350,4.039138E-08,0.00002189213,68 / 458,68 / 608
GO:0008152,metabolic process,BP,NCU08924 | NCU00585 | NCU02712 | NCU07340 | NCU08919 | NCU02252 | NCU05046 | NCU02996 | NCU03739 | NCU08828 | NCU07225 | NCU03641 | NCU00762 | NCU02583 | NCU06698 | NCU01045 | NCU05780 | NCU01666 | NCU04385 | NCU01985 | NCU04791 | NCU00187 | NCU00018 | NCU00102 | NCU00166 | NCU00168 | NCU00281 | NCU00350 | NCU11180 | NCU00409 | NCU00538 | NCU00549 | NCU00602 | NCU00608 | NCU00677 | NCU00792 | NCU00813 | NCU00884 | NCU00936 | NCU01078 | NCU01103 | NCU01107 | NCU01399 | NCU01420 | NCU01424 | NCU01611 | NCU01728 | NCU01821 | NCU02005 | NCU02124 | NCU02480 | NCU02502 | NCU02665 | NCU02734 | NCU03173 | NCU03566 | NCU03731 | NCU03741 | NCU03803 | NCU03929 | NCU03995 | NCU04144 | NCU04342 | NCU04454 | NCU04532 | NCU04579 | NCU04636 | NCU04796 | NCU05151 | NCU05159 | NCU05511 | NCU05819 | NCU06063 | NCU06261 | NCU06301 | NCU06337 | NCU06809 | NCU07081 | NCU07318 | NCU07742 | NCU08018 | NCU08044 | NCU08298 | NCU08371 | NCU08440 | NCU08441 | NCU08669 | NCU08752 | NCU08935 | NCU09034 | NCU09035 | NCU09409 | NCU09532 | NCU09575 | NCU09600 | NCU09692 | NCU09735 | NCU09866 | NCU10572 | NCU10762 | NCU11417 | NCU17138 | NCU08147 | NCU01376 | NCU04259 | NCU07550 | NCU00943 | NCU04221,2.706671E-07,0.00006426923,108 / 895,108 / 608
GO:0055114,oxidation-reduction process,BP,NCU08924 | NCU07267 | NCU08791 | NCU08828 | NCU04923 | NCU04510 | NCU01528 | NCU03339 | NCU03608 | NCU06232 | NCU03112 | NCU04791 | NCU09040 | NCU00028 | NCU00260 | NCU00602 | NCU00742 | NCU00936 | NCU01057 | NCU01078 | NCU01107 | NCU01140 | NCU01399 | NCU02005 | NCU02480 | NCU02603 | NCU03566 | NCU03803 | NCU03877 | NCU03935 | NCU04072 | NCU04443 | NCU04594 | NCU04621 | NCU04832 | NCU04845 | NCU05518 | NCU05850 | NCU06061 | NCU06080 | NCU06327 | NCU06441 | NCU06558 | NCU06625 | NCU06652 | NCU07022 | NCU07042 | NCU07318 | NCU07332 | NCU07563 | NCU07690 | NCU07723 | NCU07853 | NCU08044 | NCU08272 | NCU08669 | NCU08747 | NCU08927 | NCU08977 | NCU09035 | NCU09111 | NCU09409 | NCU09533 | NCU09560 | NCU09727 | NCU09735 | NCU09738 | NCU10572 | NCU11395 | NCU12058 | NCU05298 | NCU04720 | NCU10775 | NCU03100 | NCU06027 | NCU06025 | NCU06031 | NCU02133 | NCU06211 | NCU03857 | NCU03350,3.557337E-07,0.00006426923,81 / 614,81 / 608
GO:0009086,methionine biosynthetic process,BP,NCU02430 | NCU06512 | NCU01985 | NCU00536 | NCU02005 | NCU03935 | NCU04069 | NCU08434 | NCU10020,6.386862E-07,0.00008654198,9 / 16,9 / 608
GO:0009082,branched-chain amino acid biosynthetic process,BP,NCU03608 | NCU01666 | NCU06232 | NCU04385 | NCU03935 | NCU04579,0.00001422722,0.001440543,6 / 9,6 / 608
GO:0003824,catalytic activity,MF,NCU10007 | NCU00585 | NCU02252 | NCU07807 | NCU08828 | NCU02583 | NCU02010 | NCU05526 | NCU02430 | NCU01985 | NCU00187 | NCU00102 | NCU00166 | NCU00350 | NCU00608 | NCU00677 | NCU00743 | NCU00792 | NCU00884 | NCU01652 | NCU01728 | NCU01768 | NCU01821 | NCU02005 | NCU02136 | NCU02734 | NCU03500 | NCU03877 | NCU03929 | NCU04072 | NCU04579 | NCU04636 | NCU04796 | NCU05151 | NCU05429 | NCU05511 | NCU05819 | NCU06063 | NCU06441 | NCU07318 | NCU08018 | NCU08272 | NCU08359 | NCU08371 | NCU08441 | NCU08516 | NCU08935 | NCU08998 | NCU09034 | NCU09532 | NCU09692 | NCU11417 | NCU03347 | NCU04019 | NCU01376 | NCU06027 | NCU06211 | NCU07550 | NCU00943 | NCU04221 | NCU03350,0.00001594697,0.001440543,61 / 465,61 / 608
GO:0050661,NADP binding,MF,NCU01528 | NCU03339 | NCU01140 | NCU03935 | NCU04832 | NCU07332 | NCU09111 | NCU04720 | NCU03100,0.00004165187,0.003225045,9 / 24,9 / 608
GO:0019630,quinate metabolic process,BP,NCU06028 | NCU06027 | NCU06023 | NCU06025 | NCU06024,0.00004993229,0.003382912,5 / 7,5 / 608
GO:0005576,extracellular region,CC,NCU07200 | NCU08791 | NCU07340 | NCU07225 | NCU00762 | NCU02240 | NCU00836 | NCU05159 | NCU05908 | NCU07134 | NCU08749 | NCU09042,0.0001347472,0.008114778,12 / 46,12 / 608
GO:0006555,methionine metabolic process,BP,NCU01652 | NCU02005 | NCU07690 | NCU09896,0.0001660408,0.008999412,4 / 5,4 / 608
