Feature_ID	List
168_gene	10m,1hr
1873_gene	10m
1149_gene	10m
1918_gene	10m,1hr
1592_gene	10m
289_gene	10m
856_gene	10m,1hr
1160_gene	10m,1hr
2319_gene	10m
1894_gene	10m
549_gene	10m
820_gene	10m,1hr
1971_gene	10m
339_gene	10m,1hr
2633_gene	10m
1136_gene	10m
1959_gene	10m,1hr
1889_gene	10m
1197_gene	10m
130_gene	10m,1hr
812_gene	10m,1hr
1719_gene	10m
2141_gene	10m
2301_gene	10m
694_gene	10m
1479_gene	10m
2146_gene	10m,1hr
574_gene	10m
1144_gene	10m
163_gene	10m
1718_gene	10m
2198_gene	10m,1hr
705_gene	10m
919_gene	10m
139_gene	10m
63_gene	10m
2158_gene	10m
2142_gene	10m
765_gene	10m
1688_gene	10m
2238_gene	10m
2038_gene	10m,1hr
1972_gene	10m
1530_gene	10m,1hr
2256_gene	10m,1hr
466_gene	10m
1740_gene	10m
237_gene	10m,1hr
2004_gene	10m
1748_gene	10m,1hr
909_gene	10m,1hr
2126_gene	10m,1hr
333_gene	10m,1hr
2043_gene	10m
1064_gene	10m,1hr
1407_gene	10m
1295_gene	10m,1hr
668_gene	10m,1hr
714_gene	10m,1hr
789_gene	10m,1hr
2493_gene	10m,1hr
781_gene	10m
644_gene	10m
1259_gene	10m,1hr
365_gene	10m,1hr
1945_gene	10m,1hr
678_gene	10m
1825_gene	10m
1758_gene	10m
872_gene	10m
476_gene	10m,1hr
467_gene	10m
561_gene	10m,1hr
716_gene	10m
434_gene	10m,1hr
1126_gene	10m,1hr
908_gene	10m
691_gene	10m,1hr
1958_gene	10m,1hr
906_gene	10m
1443_gene	10m
502_gene	10m,1hr
1693_gene	10m
12_gene	10m,1hr
2175_gene	10m
1807_gene	10m
522_gene	10m,1hr
303_gene	10m,1hr
2197_gene	10m
2188_gene	10m
1591_gene	10m
521_gene	10m,1hr
1853_gene	10m
1534_gene	10m
428_gene	10m
2199_gene	10m,1hr
2343_gene	10m,1hr
1921_gene	10m
