Feature Id	Aliases	Genome	Type	Function
2559_gene	2559	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1658_gene	1658	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
2496_gene	2496	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1343_gene	1343	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
14_gene	14	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1723_gene	1723	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1504_gene	1504	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
697_gene	697	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
2001_gene	2001	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1114_gene	1114	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1484_gene	1484	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
378_gene	378	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1881_gene	1881	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1880_gene	1880	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
84_gene	84	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
650_gene	650	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1453_gene	1453	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1686_gene	1686	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
83_gene	83	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
2388_gene	2388	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
2620_gene	2620	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1543_gene	1543	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
