Feature Id	Aliases	Genome	Type	Function
168_gene	168	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1873_gene	1873	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1149_gene	1149	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1918_gene	1918	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1592_gene	1592	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
289_gene	289	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
856_gene	856	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1160_gene	1160	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
2319_gene	2319	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1894_gene	1894	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
549_gene	549	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
820_gene	820	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1971_gene	1971	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
339_gene	339	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
2633_gene	2633	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1136_gene	1136	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1959_gene	1959	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1889_gene	1889	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1197_gene	1197	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
130_gene	130	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
812_gene	812	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1719_gene	1719	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
2141_gene	2141	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
2301_gene	2301	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
694_gene	694	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
1479_gene	1479	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
2146_gene	2146	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
574_gene	574	Neucr2_GeneCatalog_transcripts_20130412.nt.fasta.gz_genome (163992/28/1)	gene	
