	log2_fold_change	p_value	q_value
434_gene	3.70389655286505	5.70341288404813e-75	5.89390687437534e-71
3844_gene	-6.35937298727393	6.82886598587974e-73	3.52847505490406e-69
3843_gene	-5.08606333297932	5.20391980204618e-52	1.79257690781151e-48
9283_gene	3.06179980099099	6.41640305912602e-48	1.65767773032521e-44
7860_gene	3.1540080231459	2.21503335238516e-43	4.57803093270966e-40
2758_gene	3.35954958829699	1.98811284235415e-41	3.42419301881464e-38
5731_gene	2.5850517779225	3.91975840063413e-38	5.78668333030759e-35
2015_gene	-2.84305095306918	1.43879809955298e-35	1.85856744509757e-32
10198_gene	2.71649072846694	2.33592655999216e-35	2.68216278566211e-32
4250_gene	2.96821147139349	1.14031063084126e-34	1.17839700591135e-31
9131_gene	-2.57141530768321	1.89224968864042e-34	1.7776825711282e-31
4015_gene	4.32179069928651	2.16464790569162e-33	1.86412262145143e-30
8945_gene	-2.95081321692853	4.5703259023783e-32	3.6330575288598e-29
3329_gene	21.4787144508611	1.55753024467689e-31	1.14967982489221e-28
3681_gene	1.99613960220716	2.62917716417476e-30	1.8113277876388e-27
6538_gene	2.62122495949802	9.47251143207939e-30	6.11805832119428e-27
3682_gene	1.98105211901433	1.44005112680016e-29	8.75381667314875e-27
3683_gene	1.96585796706166	1.38429332964355e-28	7.94738181585359e-26
455_gene	2.9580814435617	9.50173916559873e-28	5.16794592301565e-25
2120_gene	2.833655511881	1.76354821204394e-27	9.11225361163104e-25
4483_gene	3.89694205101551	8.49700502514818e-27	4.18133571094673e-24
2412_gene	-2.8718011333009	1.5029432101695e-26	7.05973415176892e-24
7635_gene	-3.04441285915575	1.89775411142899e-26	8.52669173369878e-24
7362_gene	-3.87528537432471	2.12434083300431e-26	9.14705757011108e-24
1918_gene	2.36730491163784	1.01853595204305e-25	4.08665947407333e-23
4298_gene	1.88662971870209	1.02818991993329e-25	4.08665947407333e-23
6135_gene	4.09732094527864	3.31715810426016e-25	1.26961154997868e-22
291_gene	1.87748659263942	1.63874445443418e-24	6.04813756861529e-22
7361_gene	-3.43863486689794	1.40883192424472e-23	5.02029969142927e-21
1656_gene	-2.31931623238062	1.70593478875801e-22	5.87637670234174e-20
10688_gene	-1.99687870399054	3.11934214743521e-22	1.03984779843856e-19
5069_gene	1.71290158528029	3.75514358694564e-22	1.21267668210926e-19
1064_gene	1.91528942759387	1.76023339819501e-21	5.51219755665068e-19
7634_gene	-3.49495271018291	1.89024175022215e-21	5.74522301376343e-19
4913_gene	2.21665894694576	2.17907454188975e-21	6.43387323311106e-19
10246_gene	2.00377672488926	4.01747313262872e-21	1.15323798201626e-18
9008_gene	2.07442284501643	9.54528840887346e-21	2.66597325452158e-18
3982_gene	3.74018640592321	4.02728655839621e-20	1.06712767421709e-17
5975_gene	-2.03088570624698	3.98362664835844e-20	1.06712767421709e-17
4980_gene	-1.71904575713513	4.77260263378414e-20	1.23300189043813e-17
8050_gene	2.95794819957508	6.2457818952856e-20	1.57424170989955e-17
8946_gene	-3.98059001048835	6.90026094539243e-20	1.69779277642108e-17
1499_gene	2.80198084491473	5.04378446392431e-19	1.21215043372544e-16
1443_gene	1.60988911397515	1.41156434137317e-18	3.31525134176144e-16
3809_gene	-1.4787491799517	1.56655036562394e-18	3.5974958840795e-16
4488_gene	-1.87862851932263	1.67398217124408e-18	3.76063733861659e-16
1880_gene	-2.61865927252394	2.66721921336581e-18	5.86447730870686e-16
8002_gene	2.38804985236223	1.19505115578348e-17	2.57284555080551e-15
4489_gene	-1.86797364153829	1.65978768603785e-17	3.43044918950302e-15
8446_gene	-2.70938075209536	1.64747299646188e-17	3.43044918950302e-15
900_gene	-2.31529941602672	3.00279960021153e-17	6.08449628795802e-15
156_gene	2.65695422022703	4.83003769947979e-17	9.59877107431233e-15
1881_gene	-2.70092022435296	6.60277755160135e-17	1.28741704185374e-14
3514_gene	1.52279079089447	7.74571382156572e-17	1.48230012281593e-14
8586_gene	2.38939508497697	1.21054354468497e-16	2.27450127104991e-14
10166_gene	1.28826243560763	1.56920640116632e-16	2.89574624100941e-14
7369_gene	1.73511203275444	1.69978004589537e-16	3.08167140250575e-14
10561_gene	2.19815288066974	3.09129972975406e-16	5.50784334608249e-14
7056_gene	-1.37339442216739	5.04541585120249e-16	8.83717413666551e-14
1342_gene	-2.65539435221186	5.13100111195852e-16	8.83729424849655e-14
6309_gene	2.19008078738458	5.27831299678262e-16	8.9419813948773e-14
5948_gene	2.35722271198261	7.34868352444129e-16	1.22485960550929e-13
2986_gene	-2.0169348516434	1.33972427797398e-15	2.19757312517193e-13
6146_gene	1.43084432775983	2.25760102941174e-15	3.64532016217826e-13
3587_gene	-1.33203536136253	4.37593571179054e-15	6.95706456086822e-13
5004_gene	-2.65437162372555	4.59088774408881e-15	7.18821726475966e-13
4385_gene	1.47003934758989	4.90292820833665e-15	7.56221792611207e-13
812_gene	1.80041048545732	5.11778962812052e-15	7.77753500249962e-13
1343_gene	-2.91304835051533	6.92384213211909e-15	1.03697079120752e-12
10649_gene	1.77987676366311	7.51284084125718e-15	1.10910996076502e-12
6028_gene	1.85545598121254	7.98772325686888e-15	1.16260749488004e-12
12_gene	1.5793661229847	1.33009757783554e-14	1.90601493308345e-12
2188_gene	1.45342225086536	1.34642045785844e-14	1.90601493308345e-12
10333_gene	1.85507608921973	1.52006923934458e-14	2.1227561512685e-12
7970_gene	1.53276226237351	2.42090738321025e-14	3.33568758641263e-12
5461_gene	1.70174718019461	3.0691212956429e-14	4.17319729857549e-12
9071_gene	2.3833826668981	3.80796953816212e-14	5.11059184511264e-12
9070_gene	2.36133695044728	3.87680731100676e-14	5.13627266050563e-12
9069_gene	2.33984116738312	4.31284386577602e-14	5.64163652011765e-12
10233_gene	1.45281315402054	4.41364262053009e-14	5.70132285506975e-12
691_gene	2.28915630588602	4.82475721218169e-14	6.15543716428218e-12
9652_gene	3.38527879351256	5.99066694214479e-14	7.54970148538101e-12
9312_gene	-1.9782259162973	8.08027777673741e-14	1.00604325957596e-11
4979_gene	-1.82383707356525	1.15407381625373e-13	1.41978557347215e-11
502_gene	1.62083496072202	1.71192406687511e-13	2.08129685965734e-11
5399_gene	2.05731945005531	2.45191537571679e-13	2.94628994100666e-11
4215_gene	3.47818013232303	3.1182536560708e-13	3.6916928431677e-11
7937_gene	1.98221697454853	3.14369044124983e-13	3.6916928431677e-11
302_gene	2.62004340231454	3.55719142794195e-13	4.13033890071371e-11
6424_gene	-1.70959485407057	4.73256976493106e-13	5.43404177231084e-11
5389_gene	-1.47877765444136	5.50754743287544e-13	6.25439507377305e-11
5688_gene	-1.61010268064438	7.68034871916719e-13	8.62703518085584e-11
5615_gene	1.7750880428656	8.41607543340271e-13	9.35179822890147e-11
178_gene	-1.17747637261168	9.06188397837575e-13	9.96228819495054e-11
565_gene	-1.11052275999195	9.91626617756652e-13	1.07868099662076e-10
10587_gene	-1.24947525878622	1.0254822542549e-12	1.10388891827814e-10
8767_gene	1.76729288050322	1.49795489404008e-12	1.59586246134126e-10
8613_gene	1.80810345539278	1.84651078962848e-12	1.9471267857164e-10
9573_gene	-1.24271538865953	2.46854750366239e-12	2.57676463665122e-10
5501_gene	1.91384364491543	2.63474759328917e-12	2.72274816290503e-10
6993_gene	1.94583799539723	2.7060616954799e-12	2.76875659020686e-10
180_gene	-2.11175904880156	2.95701828313689e-12	2.99586538607222e-10
9530_gene	1.18019898151423	3.15141865840486e-12	3.16182139960737e-10
10205_gene	2.98688756726193	3.66565616731121e-12	3.64239334932635e-10
163_gene	1.10312858071001	4.41572341299739e-12	4.34591292856334e-10
2409_gene	1.89257332658307	4.47893278980532e-12	4.36653692923096e-10
5182_gene	-1.89584667385419	4.64167821289581e-12	4.48290678991264e-10
2920_gene	1.29024653972972	6.61982389812991e-12	6.33419075585875e-10
2919_gene	1.28518674884235	6.74499468365687e-12	6.39475000558808e-10
7424_gene	-29.0016143822355	8.57370209918776e-12	8.05460340845512e-10
3387_gene	1.51617727448832	9.39520036957756e-12	8.74684690263194e-10
4067_gene	1.57291417641441	1.05139301651848e-11	9.70097806491248e-10
7486_gene	1.68799477211514	1.71811093792322e-11	1.56495970990855e-09
9007_gene	1.94661640361145	1.72639255786312e-11	1.56495970990855e-09
7856_gene	1.67214540805479	1.75344182894663e-11	1.57565807481169e-09
6520_gene	1.09249714294289	2.08530798758654e-11	1.85772178825166e-09
5500_gene	1.87698055824477	2.39139591270121e-11	2.11219533007301e-09
10138_gene	-2.00202568516762	2.42406163454092e-11	2.12290279079202e-09
8345_gene	2.48385176618924	3.11588654983097e-11	2.70584635344145e-09
3549_gene	-1.26573598219521	3.19118291056931e-11	2.7481403498186e-09
3649_gene	-2.0557146390518	3.893070499215e-11	3.32487525114776e-09
3253_gene	1.49656517508867	3.93285424326635e-11	3.33132096310774e-09
7966_gene	-1.39807723821214	4.01766215696818e-11	3.37548949025278e-09
466_gene	10.2515276810913	4.27298889962753e-11	3.56105381360895e-09
1945_gene	1.11804066549018	4.58862391159972e-11	3.76339996051361e-09
6069_gene	1.48862280310269	4.57518316950626e-11	3.76339996051361e-09
5621_gene	1.47105979398861	5.49769582296318e-11	4.47347942003949e-09
8559_gene	1.77015332187775	6.1928753130322e-11	4.99977917850584e-09
7893_gene	1.60945485410708	6.28955870325035e-11	5.03847284026272e-09
10780_gene	1.9680985201186	6.39102109503498e-11	5.0803701535455e-09
3661_gene	1.89655986466825	6.57327629900694e-11	5.18536162396471e-09
10604_gene	-1.60066722800172	6.62608151727172e-11	5.18741866662772e-09
10647_gene	1.17940709476661	7.05476687738431e-11	5.48150082036763e-09
467_gene	10.113165718886	8.4719597146021e-11	6.48512827338504e-09
8777_gene	1.7373491057256	8.44546191638605e-11	6.48512827338504e-09
8548_gene	-3.13752497235381	8.60398470357056e-11	6.53776308284545e-09
6185_gene	1.15391187177529	9.23135935734852e-11	6.86308399991652e-09
8819_gene	0.925038147871836	9.22483412293658e-11	6.86308399991652e-09
9536_gene	-1.23161771066464	9.1213197510536e-11	6.86308399991652e-09
10727_gene	-2.12320924000175	9.39667823413049e-11	6.93609091939317e-09
4349_gene	1.32803033966468	1.00807028791904e-10	7.38822578394e-09
6935_gene	-1.37133016585813	1.08824923257552e-10	7.91969547143339e-09
4784_gene	-1.22575466509385	1.20115850984008e-10	8.68026016831284e-09
7861_gene	1.3203010579643	1.29934115735379e-10	9.32457744450977e-09
3905_gene	-2.20211035413008	1.35639069227585e-10	9.6668561475715e-09
1748_gene	1.8168329404651	1.46079859536868e-10	1.03396525236575e-08
973_gene	-1.4845222321078	1.52809734221759e-10	1.07424203635895e-08
6273_gene	1.35221401510706	1.65980365499109e-10	1.15894668720797e-08
3010_gene	1.79844283824365	1.71721011307549e-10	1.1909831750686e-08
4312_gene	-1.73769640212052	1.80756414845207e-10	1.24529119400691e-08
4387_gene	2.34593796370078	1.83257827241005e-10	1.25416317000566e-08
6274_gene	1.90809336375156	1.88477793836842e-10	1.28140100099337e-08
5979_gene	-1.51815636240103	2.09096420236042e-10	1.41228915471847e-08
6043_gene	-2.00585490485428	2.14593855526576e-10	1.44000837857898e-08
7984_gene	2.20985965514803	2.32783582289346e-10	1.55199067056651e-08
1486_gene	-1.3115301584876	2.59469648085295e-10	1.7103965935757e-08
8770_gene	1.74787391217204	2.59853169335577e-10	1.7103965935757e-08
7342_gene	9.96055786544706	2.63666787310016e-10	1.72451429117829e-08
8791_gene	4.80297895563493	2.70292039891616e-10	1.75672826430186e-08
7479_gene	-2.01932670394011	2.97194542932976e-10	1.91950525416836e-08
3189_gene	2.02391366857435	3.00999770580713e-10	1.93200722309385e-08
6100_gene	1.60532745348193	3.41724530951306e-10	2.17986500175975e-08
1674_gene	-1.34529955105024	3.69298992221936e-10	2.34131029792729e-08
694_gene	1.63928256451115	3.73643063801751e-10	2.35440696422396e-08
6705_gene	2.74621645315753	4.0329926160896e-10	2.52587549664666e-08
3648_gene	-2.05145854280063	4.07758696087539e-10	2.53842070202929e-08
8885_gene	1.41455134097013	4.37430208428733e-10	2.69071653208484e-08
10468_gene	1.55040383862638	4.34948050263668e-10	2.69071653208484e-08
9929_gene	-1.24908796547236	4.6353758369351e-10	2.83443632537795e-08
2888_gene	-1.86717928945685	4.99718688166569e-10	3.03770171971372e-08
9058_gene	1.39134487332309	5.29630433094751e-10	3.20070227812933e-08
5864_gene	1.58711372796852	6.10567165202246e-10	3.66837272395349e-08
3011_gene	1.76486789214397	6.70067236638483e-10	4.00258660313415e-08
2142_gene	1.19555498460127	6.8977123329032e-10	4.09660685334607e-08
8666_gene	1.85092926820833	7.19579535344693e-10	4.24921995328689e-08
10678_gene	-0.851689476854339	7.54809708310929e-10	4.43193382141201e-08
7637_gene	-1.19068674459635	7.86366999867082e-10	4.59113930882849e-08
7297_gene	1.56183750782087	8.03290021002817e-10	4.66359498710287e-08
8292_gene	1.59497619464063	8.37814542661433e-10	4.8368578122141e-08
5918_gene	1.49091399691772	1.24796077058994e-09	7.1646814462647e-08
7338_gene	1.30352541276459	1.26266990437756e-09	7.20907778554569e-08
7880_gene	1.82234960149919	1.27469393647992e-09	7.23774018658431e-08
4055_gene	-1.27277734509732	1.29545990263647e-09	7.31545499117227e-08
4928_gene	1.54792098046666	1.30333240067974e-09	7.31991142860025e-08
8249_gene	1.60269280681287	1.32222281871981e-09	7.38586519386512e-08
9316_gene	-25.7418215713601	1.35400860916651e-09	7.52275535867025e-08
2957_gene	1.31219511373834	1.36446087720287e-09	7.54028807754787e-08
4189_gene	1.7410603408384	1.38616882561029e-09	7.61950459779611e-08
4464_gene	2.07388320817528	1.42634155522391e-09	7.79884319136714e-08
7336_gene	1.33592972493603	1.5325900027733e-09	8.33567636245225e-08
4931_gene	-1.18274029429709	1.57089384123934e-09	8.49927589286251e-08
289_gene	1.66792446979563	1.66587709547053e-09	8.96623640864193e-08
3458_gene	1.81842277571969	1.7106934725569e-09	9.15974422041608e-08
10618_gene	-1.58249484723817	1.83416935013536e-09	9.77026085788598e-08
4792_gene	-1.45654391581687	1.84848945761451e-09	9.79604618204532e-08
8534_gene	-1.56355920064443	1.95597880066124e-09	1.03127984316496e-07
9059_gene	1.39556021680087	1.96921940496545e-09	1.03299052441183e-07
7070_gene	1.31646134773688	2.21001759654986e-09	1.1534505981185e-07
5375_gene	1.59678985086313	2.2310625734779e-09	1.15858294644827e-07
9147_gene	2.59203247888913	2.28486348118897e-09	1.18058896073034e-07
2493_gene	25.2973056960619	2.57848170932419e-09	1.32567313354011e-07
6245_gene	1.56232817889198	2.7561935500432e-09	1.41002495773002e-07
6257_gene	-1.31631623351612	3.01610696275085e-09	1.53539159374716e-07
1987_gene	-1.20389033254694	3.18156285851986e-09	1.60381807707045e-07
6099_gene	1.47871332549745	3.17683526515978e-09	1.60381807707045e-07
5181_gene	25.1129819869063	3.35938559675805e-09	1.68523741538338e-07
6998_gene	-1.55379396087469	3.38668531339733e-09	1.69072492892019e-07
2708_gene	-2.3660540795082	3.60118986020301e-09	1.78916807766047e-07
7335_gene	1.36879482547338	3.8196946637821e-09	1.88864711270451e-07
317_gene	0.933357594880877	3.90270221305301e-09	1.92050117474713e-07
6368_gene	11.3299280390697	4.45471017315135e-09	2.18175236631972e-07
8024_gene	-1.02866377864042	4.5131065812004e-09	2.19992657594929e-07
7031_gene	-1.27316254812018	5.36548340620191e-09	2.60314110421083e-07
10331_gene	1.52695600892497	5.6360494675602e-09	2.72163248587697e-07
6653_gene	-0.918523993154855	5.76061322704947e-09	2.7688454459688e-07
6628_gene	2.00943620995809	5.89809357384395e-09	2.82180087926405e-07
9234_gene	1.17670626009492	6.04763237450947e-09	2.88001073540004e-07
8332_gene	1.73201172911153	6.57574399554371e-09	3.11714396559398e-07
6279_gene	1.56236348366737	6.62286853665288e-09	3.12514718985255e-07
9207_gene	1.04282519302753	6.76820224222549e-09	3.16792435927617e-07
10104_gene	-1.55983496779199	6.77483339849075e-09	3.16792435927617e-07
8160_gene	-1.11578765398391	7.1849939112838e-09	3.34458230086517e-07
3226_gene	1.28079601398663	7.340577535135e-09	3.40168288108005e-07
8634_gene	2.35078388949257	7.93919455945983e-09	3.66266234720794e-07
140_gene	1.16218670600664	8.43790376737608e-09	3.86948341330994e-07
1136_gene	1.74273520368841	8.46238873048236e-09	3.86948341330994e-07
4399_gene	-1.55000163782075	8.71715532731135e-09	3.96841776001919e-07
6923_gene	-1.45901702200758	8.85887792470313e-09	4.01524756464395e-07
5386_gene	-1.61304456398088	9.22859428799272e-09	4.16455429572562e-07
5801_gene	1.05474389953105	1.06098369689479e-08	4.76704587987425e-07
8156_gene	-24.1265700012759	1.34709794073683e-08	6.02636801713178e-07
7420_gene	-1.39719274415328	1.35465516275371e-08	6.03405450512795e-07
2890_gene	-1.55650208783875	1.37185794033398e-08	6.08315627825223e-07
5147_gene	-1.49244120904266	1.37745168290209e-08	6.08315627825223e-07
7294_gene	1.30344499641029	1.42411280941382e-08	6.26246032871593e-07
7863_gene	1.34514022182581	1.45116254127146e-08	6.35437021249969e-07
2141_gene	1.14516255760963	1.53790963768238e-08	6.61367920993854e-07
5654_gene	-1.6988571263514	1.53980997223956e-08	6.61367920993854e-07
6209_gene	1.67968341531973	1.52279245238026e-08	6.61367920993854e-07
7120_gene	2.27438810603399	1.54238115888832e-08	6.61367920993854e-07
8600_gene	-2.05902447643309	1.52396818581685e-08	6.61367920993854e-07
6303_gene	1.01168994712775	1.61269361156873e-08	6.86955735370209e-07
10697_gene	-1.71425029910913	1.61534975512832e-08	6.86955735370209e-07
3469_gene	-1.97655396523618	1.63315755549765e-08	6.88859190959702e-07
8855_gene	1.6486565576103	1.63205411699129e-08	6.88859190959702e-07
2903_gene	1.59110903574602	1.76470464710567e-08	7.4131942370691e-07
303_gene	1.6695204322735	1.91489014055578e-08	8.0115282236856e-07
4801_gene	-0.878655883268002	1.94765159912752e-08	8.11573855862251e-07
9248_gene	-1.70138511673449	1.95814909550736e-08	8.12671194898515e-07
9282_gene	1.63015130194505	2.10025528666554e-08	8.68161525296069e-07
2761_gene	-0.939689234741008	2.28160975617132e-08	9.39368733875476e-07
7326_gene	-1.35789529286563	2.30984612240465e-08	9.47220231306731e-07
1281_gene	-1.27571463692929	2.43072904075844e-08	9.9285193309082e-07
5992_gene	1.54554594269543	2.4882123105877e-08	1.01233015817375e-06
1705_gene	-1.33481621579302	2.73648302094026e-08	1.1089731583685e-06
237_gene	1.75986264923197	2.81517489604613e-08	1.13640692873987e-06
