Feature Id	Aliases	start	end	score	strand	frame	proteinId	gene	log2_fold_change	p_value	q_value	NCUT	NCU
1658_gene	1658	6269995	6270099	.	-	0	1658	1658_gene	-1.20220436259901	0.0020335382368418	0.0146239277240946	NCU07353T0	NCU07353
1987_gene	1987	7402523	7402764	.	+	0	1987	1987_gene	-1.20389033254694	3.1815628585198602e-09	1.60381807707045e-07	NCU00727T0	NCU00727
1912_gene	1912	7133333	7134406	.	-	0	1912	1912_gene	-1.09400616194473	7.03315775890012e-07	1.92786876075527e-05	NCU00797T0	NCU00797
2279_gene	2279	8426296	8426449	.	+	0	2279	2279_gene	-1.00464483321945	0.0003873347657074	0.0038340205640048	NCU03019T0	NCU03019
900_gene	900	3260484	3261907	.	-	2	900	900_gene	-2.31529941602672	3.00279960021153e-17	6.08449628795802e-15	NCU02704T0	NCU02704
1290_gene	1290	4986330	4987460	.	+	0	1290	1290_gene	-1.01012895452358	2.62737592228783e-05	0.0004046393857067	NCU03230T0	NCU03230
1779_gene	1779	6735851	6738196	.	+	0	1779	1779_gene	-1.54140490900727	0.0001085244335023	0.0013287813931432	NCU00919T0	NCU00919
1806_gene	1806	6845329	6845442	.	+	0	1806	1806_gene	-1.05087674592597	0.0001917690609152	0.0021447418565996	NCU00894T0	NCU00894
698_gene	698	2638193	2638336	.	+	0	698	698_gene	-1.11634931052859	0.0002798638352816	0.0029331773567956	NCU02529T0	NCU02529
244_gene	244	981366	981782	.	-	0	244	244_gene	-1.95422997792811	1.72325250139293e-07	5.51731707323107e-06	NCU16323T0	NCU16323
1705_gene	1705	6513768	6513926	.	+	0	1705	1705_gene	-1.33481621579302	2.73648302094026e-08	1.1089731583685e-06	NCU00979T0	NCU00979
499_gene	499	1898530	1898633	.	+	0	499	499_gene	-1.09742684721884	2.72121317488883e-07	8.41946615248537e-06	NCU01948T0	NCU01948
1668_gene	1668	6297312	6297388	.	-	2	1668	1668_gene	-1.08499590410152	0.0009419956522575	0.0079458999100696	NCU07344T0	NCU07344
1343_gene	1343	5169654	5169771	.	-	1	1343	1343_gene	-2.91304835051533	6.923842132119091e-15	1.0369707912075199e-12	NCU03281T0	NCU03281
