	Feature_ID	List	log2_fold_change_10m	log2_fold_change_1hr	q_value_10m	NCUT_10m	NCU_10m	motif_ID_10m	motif_ALT_ID_10m	FASTA_score_10m	PWM_score_10m	q_value_1hr	NCUT_1hr	NCU_1hr	motif_ID_1hr	motif_ALT_ID_1hr	FASTA_score_1hr	PWM_score_1hr
0	4610_gene	10m	1.16530397458771	0.435148908430857	0.0048570153956578	NCU00300T0	NCU00300	MA0362.1	RDS2	5338.0	1.59072							
1	5770_gene	10m	1.53590369504394	1.04011590216462	0.0073234463773276	NCU07661T0	NCU07661	MA0362.1	RDS2	6498.0	1.95856							
2	5948_gene	10m	2.35722271198261	0.574186370003679	1.22485960550929E-13	NCU06311T0	NCU06311											
3	5937_gene	10m	2.83254987075504	-0.270159911760445	0.000164883537138	NCU06320T1	NCU06320											
4	6563_gene	10m	1.083835352441	0.0945004187642386	0.0017815017731957	NCU08826T0	NCU08826											
5	5358_gene	10m	1.12876238281717	0.633834372928626	1.61208322781787E-05	NCU04908T0	NCU04908											
6	5461_gene	10m	1.70174718019461	0.0559926804933788	4.17319729857549E-12	NCU07947T0	NCU07947											
7	5181_gene	10m	25.1129819869063	-33.3972546445613	1.68523741538338E-07	NCU10572T0	NCU10572	MA0362.1	RDS2	5909.0	1.18139							
8	6437_gene	10m	8.50041601605853	4.04623571478243	0.0014013377443504	NCU07255T1	NCU07255	MA0362.1	RDS2	7164.0	1.2501							
9	6274_gene	10m	1.90809336375156	0.384798338685694	1.28140100099337E-08	NCU08045T0	NCU08045	MA0362.1	RDS2	7002.0	1.39843							
10	9302_gene	10m	1.2250472582488	0.638786980008872	5.71894772879991E-05	NCU04090T0	NCU04090	MA0362.1	RDS2	10030.0	1.32815							
11	5490_gene	10m	1.40390548239915	0.686448125335645	0.0032828453155216	NCU07925T0	NCU07925	MA0362.1	RDS2	6217.0	2.26872							
12	8999_gene	10m	1.21459179164023	0.967900528823429	0.001622202250783	NCU05526T0	NCU05526											
13	6740_gene	10m	1.72023176059543	0.756097648697562	1.3668165949302E-06	NCU05198T0	NCU05198	MA0416.1	YAP3	7468.0	3.33727							
14	5725_gene	10m	1.19863432906511	0.871267457980169	0.0318536817123944	NCU07694T0	NCU07694	MA0362.1	RDS2	6453.0	1.44213							
15	8577_gene	10m	1.82848163123651	0.996335305707137	0.0009382429851147	NCU07117T1	NCU07117	MA0416.1	YAP3	9305.0	1.21974							
16	4872_gene	10m	1.51428804611087	-0.135179441096345	0.0302835536078361	NCU08998T1	NCU08998											
17	4254_gene	10m	1.16036360133775	0.871441855875711	0.000481113044747	NCU06265T0	NCU06265											
18	9011_gene	10m	1.09461617464876	0.159708022924116	2.58091480282809E-05	NCU05516T0	NCU05516											
19	4871_gene	10m	1.48021332253426	-0.137850116875973	0.0123378961599774	NCU08998T0	NCU08998											
20	9559_gene	10m	1.09067907289791	0.964508838112761	0.0045216017447637	NCU05046T0	NCU05046											
21	4213_gene	10m	1.10716328677145	0.52296879137046	0.0023920807134529	NCU06230T0	NCU06230											
22	3903_gene	10m	5.66100397132383	-0.105635419872358	0.012612377353829	NCU05699T0	NCU05699											
23	8776_gene	10m	1.52022211514517	0.33189964276729	8.29897241949686E-05	NCU04796T0	NCU04796											
24	6535_gene	10m	1.58941940314956	-0.835553690791586	0.0081280403314952	NCU07042T0	NCU07042											
25	5691_gene	10m	1.2497206482794	-0.36106652405577	0.0001914576710367	NCU07723T0	NCU07723	MA0362.1	RDS2	6419.0	1.27846							
26	6100_gene	10m	1.60532745348193	0.755998482336228	2.17986500175975E-08	NCU04415T1	NCU04415											
27	6290_gene	10m	2.08196269167851	0.98658225551953	0.0003416277435337	NCU08686T0	NCU08686											
28	6069_gene	10m	1.48862280310269	0.671962675173288	3.76339996051361E-09	NCU04443T0	NCU04443	MA0418.1	YAP6	6797.0	63.6393							
29	6560_gene	10m	1.40690703425728	0.211952245866961	0.0054659379717684	NCU08828T0	NCU08828	MA0362.1	RDS2	7288.0	1.13059							
30	6498_gene	10m	1.10541590588528	0.402824843200675	0.0132189547841941	NCU07007T0	NCU07007	MA0362.1	RDS2	7226.0	1.35339							
31	6646_gene	10m	1.22937324556387	-0.283536871287436	3.54030027529488E-06	NCU05279T0	NCU05279											
32	6146_gene	10m	1.43084432775983	0.536437395437928	3.64532016217826E-13	NCU10762T0	NCU10762											
33	6186_gene	10m	1.32756351448079	-0.21194276931599	0.0011837900889569	NCU04342T0	NCU04342	MA0362.1	RDS2	6914.0	1.51694							
34	6562_gene	10m	1.18542494041258	0.0438966952647045	0.020001075254239	NCU08827T0	NCU08827	MA0362.1	RDS2	7289.0	1.22905							
35	5357_gene	10m	1.60148587885627	0.531955735717973	0.0199172368691353	NCU16742T0	NCU16742	MA0362.1	RDS2	6085.0	1.68339							
36	6564_gene	10m	6.18942655635953	0.120455457705978	0.0071009810811829	NCU16877T0	NCU16877	MA0362.1	RDS2	7292.0	2.87389							
37	6019_gene	10m	1.35336851090025	0.960660780896892	0.033026799499203	NCU16807T0	NCU16807											
38	6099_gene	10m	1.47871332549745	0.673098482269721	1.60381807707045E-07	NCU04415T0	NCU04415											
39	5619_gene	10m	1.06859236204204	0.860120615434683	2.00179246453373E-05	NCU06601T0	NCU06601											
40	9280_gene	10m	1.25896662712718	0.407148417458782	0.0150662952790218	NCU04069T0	NCU04069	MA0362.1	RDS2	10008.0	1.3406							
41	9281_gene	10m	1.13602300525695	0.757568698523442	0.0207773264509239	NCU04070T0	NCU04070											
42	5621_gene	10m	1.47105979398861	-0.505190157383098	4.47347942003949E-09	NCU06603T0	NCU06603											
43	6245_gene	10m	1.56232817889198	0.840756831859309	1.41002495773002E-07	NCU08018T0	NCU08018	MA0362.1	RDS2	6972.0	1.07369							
44	6244_gene	10m	1.11632802075306	0.835227316404967	2.50633508736809E-05	NCU08018T1	NCU08018	MA0362.1	RDS2	6972.0	1.07369							
45	8559_gene	10m	1.77015332187775	0.758922208398678	4.99977917850584E-09	NCU07133T0	NCU07133											
46	6303_gene	10m	1.01168994712775	-0.0894365846576435	6.86955735370209E-07	NCU08676T0	NCU08676											
