Feature Id	Aliases	start	end	score	strand	frame	proteinId	gene	log2_fold_change	p_value	q_value	NCUT	NCU
2559_gene	2559	9439555	9442368	.	+	0	2559	2559_gene	-1.84975948686089	9.15718463959958e-07	2.2693128552907e-05	NCU09241T0	NCU09241
266_gene	266	1058351	1058636	.	-	1	266	266_gene	-1.15997126090413	1.18137025030103e-05	0.0002051811792707	NCU02156T0	NCU02156
1658_gene	1658	6269995	6270099	.	-	0	1658	1658_gene	-1.60332454451013	3.58080334051711e-05	0.0005189904869691	NCU07353T0	NCU07353
771_gene	771	2828198	2828210	.	+	0	771	771_gene	-1.18296666270756	0.000159798754627	0.0018430360829422	NCU02588T1	NCU02588
1786_gene	1786	6749669	6750146	.	-	1	1786	1786_gene	-1.05498549697373	0.0081389182794208	0.0444543242597967	NCU00915T0	NCU00915
1760_gene	1760	6669835	6669966	.	+	0	1760	1760_gene	-1.4985472960278	0.001574471910448	0.0120166859103174	NCU00936T1	NCU00936
545_gene	545	2082566	2082748	.	+	0	545	545_gene	-1.40644306009686	1.50125925953624e-10	9.125890110616171e-09	NCU01904T0	NCU01904
1779_gene	1779	6735851	6738196	.	+	0	1779	1779_gene	-1.04754069202245	0.0091364437939686	0.0485429358184433	NCU00919T0	NCU00919
1300_gene	1300	5025469	5026047	.	+	0	1300	1300_gene	-1.24692103106544	6.343394997348142e-14	6.689045296183229e-12	NCU03240T0	NCU03240
2496_gene	2496	9118068	9123023	.	+	0	2496	2496_gene	-12.3452278029324	8.48063941193432e-05	0.0010713805340211	NCU02793T3	NCU02793
1023_gene	1023	4096165	4096414	.	-	1	1023	1023_gene	-1.23191032168047	1.8530891104431e-06	4.15397459160933e-05	NCU09802T0	NCU09802
817_gene	817	2975316	2975701	.	-	2	817	817_gene	-1.08678820374136	0.0002513785501275	0.0026698313843968	NCU02627T1	NCU02627
1343_gene	1343	5169654	5169771	.	-	1	1343	1343_gene	-1.68254057642278	6.80747438865298e-06	0.0001288432973119	NCU03281T0	NCU03281
14_gene	14	62142	62565	.	+	0	14	14_gene	-2.20389383976166	2.1474120792418103e-09	1.08781158955318e-07	NCU09914T0	NCU09914
489_gene	489	1860834	1860996	.	+	0	489	489_gene	-1.18130191876454	0.0003679084928235	0.0036347670791952	NCU01958T0	NCU01958
1382_gene	1382	5270179	5270266	.	-	1	1382	1382_gene	-1.46303124158932	5.52606692211993e-07	1.47416640271225e-05	NCU03309T0	NCU03309
1723_gene	1723	6555431	6555470	.	+	0	1723	1723_gene	-1.81651160090917	1.73566602037661e-09	9.01325259023714e-08	NCU00965T0	NCU00965
1504_gene	1504	5660362	5660412	.	+	0	1504	1504_gene	-2.02872433289604	1.2441048475266201e-10	7.82339063723429e-09	NCU08351T0	NCU08351
697_gene	697	2636513	2636533	.	-	0	697	697_gene	-2.25320063251052	5.09434186192328e-07	1.37454122196123e-05	NCU02528T0	NCU02528
105_gene	105	387495	387865	.	-	2	105	105_gene	-1.12095854514572	0.0002355346469411	0.002524262888045	NCU07503T0	NCU07503
1321_gene	1321	5117256	5117447	.	+	0	1321	1321_gene	-1.03934213250304	5.73485536313658e-06	0.0001113984874485	NCU03263T0	NCU03263
688_gene	688	2598136	2598217	.	+	0	688	688_gene	-1.36249015148148	1.6535378633962502e-09	8.63013145471557e-08	NCU02520T0	NCU02520
877_gene	877	3190747	3190782	.	-	0	877	877_gene	-1.13382655480628	3.12136267238544e-07	8.96004496011976e-06	NCU02684T0	NCU02684
1415_gene	1415	5382889	5383146	.	-	0	1415	1415_gene	-1.36543163004864	0.0001729592824146	0.0019684594983179	NCU09116T1	NCU09116
6_gene	6	36099	36503	.	+	0	6	6_gene	-1.02933131847753	1.18464833642262e-05	0.0002054053004797	NCU09906T0	NCU09906
1644_gene	1644	6200446	6200653	.	+	0	1644	1644_gene	-1.15198923557693	4.89666441928543e-06	9.76875098627328e-05	NCU07367T0	NCU07367
2001_gene	2001	7452480	7452648	.	+	0	2001	2001_gene	-1.77347433033729	0.0067786550121376	0.0388092082523162	NCU00716T0	NCU00716
1562_gene	1562	5884342	5884439	.	+	0	1562	1562_gene	-1.01820660324449	0.0006549581937021	0.0058297484700414	NCU09218T0	NCU09218
1416_gene	1416	5382889	5383146	.	-	0	1416	1416_gene	-1.29078900431214	0.0003007391766257	0.0030923767674138	NCU09116T0	NCU09116
565_gene	565	2143315	2145738	.	-	0	565	565_gene	-1.09451508541579	1.9932486888314e-12	1.67465300409624e-10	NCU01886T0	NCU01886
1332_gene	1332	5146775	5150500	.	+	0	1332	1332_gene	-1.06348169077487	1.99469531597338e-07	6.0627004103732e-06	NCU03273T0	NCU03273
1720_gene	1720	6548850	6549672	.	-	1	1720	1720_gene	-1.12532675234973	0.0006864236611568	0.0060421653444587	NCU00967T0	NCU00967
1056_gene	1056	4225719	4225896	.	+	0	1056	1056_gene	-1.27982394015518	2.19511592899473e-06	4.83674371220288e-05	NCU09326T0	NCU09326
2138_gene	2138	7902897	7902956	.	-	0	2138	2138_gene	-1.19694431237102	1.02786056568587e-05	0.0001828211890842	NCU00591T1	NCU00591
2292_gene	2292	8460891	8462048	.	-	0	2292	2292_gene	-1.03044314178946	1.06327846746636e-08	4.73617227706785e-07	NCU03007T0	NCU03007
2618_gene	2618	9661829	9662185	.	+	0	2618	2618_gene	-1.23017992526052	0.0004275558305632	0.0041139310549728	NCU16497T0	NCU16497
816_gene	816	2975316	2975701	.	-	2	816	816_gene	-1.08180934971631	0.0002359626427183	0.002524262888045	NCU02627T0	NCU02627
1114_gene	1114	4488729	4490105	.	-	0	1114	1114_gene	-1.62336739784468	1.65660942368967e-06	3.79063122544484e-05	NCU03083T0	NCU03083
