Feature Id	Aliases	start	end	score	strand	frame	proteinId	gene	log2_fold_change	p_value	q_value	NCUT	NCU
168_gene	168	620898	620918	.	+	0	168	168_gene	1.45851958910511	0.000832858638316	0.0072072338613241	NCU07441T0	NCU07441
1873_gene	1873	7005312	7005781	.	+	0	1873	1873_gene	1.06938571729807	0.0016536088333257	0.0124188907584215	NCU00836T0	NCU00836
1149_gene	1149	4599700	4600268	.	-	2	1149	1149_gene	1.26462665255609	0.0005707489813794	0.0052850537397625	NCU03112T0	NCU03112
1918_gene	1918	7156100	7156169	.	+	0	1918	1918_gene	2.36730491163784	1.0185359520430501e-25	4.0866594740733303e-23	NCU00792T0	NCU00792
1592_gene	1592	6010351	6010658	.	-	2	1592	1592_gene	1.02335777714688	5.8586225628508e-07	1.64967317614442e-05	NCU07414T0	NCU07414
289_gene	289	1127422	1127658	.	-	0	289	289_gene	1.66792446979563	1.6658770954705301e-09	8.96623640864193e-08	NCU02136T0	NCU02136
856_gene	856	3122315	3123814	.	-	0	856	856_gene	1.09968147310539	8.69606349362145e-05	0.0011067133022547	NCU02665T0	NCU02665
1160_gene	1160	4628234	4628524	.	+	0	1160	1160_gene	1.0189333154412	0.0012443938040498	0.0099455263503876	NCU03120T0	NCU03120
2319_gene	2319	8529635	8529660	.	-	2	2319	2319_gene	1.1399430609626	0.0089957055551452	0.0473128373795332	NCU02976T0	NCU02976
1894_gene	1894	7076494	7076643	.	+	0	1894	1894_gene	1.0174968908519	2.89660655381579e-06	6.35364720603068e-05	NCU00813T0	NCU00813
549_gene	549	2090694	2094275	.	+	0	549	549_gene	1.10395247782307	4.91073798179445e-06	9.575012510163e-05	NCU01901T0	NCU01901
820_gene	820	2990412	2992844	.	-	0	820	820_gene	2.08802614737455	1.51801242647482e-06	3.72616161881016e-05	NCU02630T0	NCU02630
1971_gene	1971	7352489	7352590	.	-	0	1971	1971_gene	1.26724353015084	1.11165361562823e-06	2.87195711597554e-05	NCU00743T0	NCU00743
339_gene	339	1308488	1309242	.	-	2	339	339_gene	1.67095152809343	3.79250375463217e-05	0.0005543385261721	NCU02095T0	NCU02095
2633_gene	2633	9764570	9765141	.	+	0	2633	2633_gene	1.74299533068908	5.73974250018045e-08	2.10335102825762e-06	NCU10028T0	NCU10028
1136_gene	1136	4553583	4553596	.	+	0	1136	1136_gene	1.74273520368841	8.462388730482361e-09	3.86948341330994e-07	NCU03100T0	NCU03100
1959_gene	1959	7303582	7304606	.	-	2	1959	1959_gene	2.4065990866269	4.78626120644914e-06	9.36765592944043e-05	NCU00754T0	NCU00754
1889_gene	1889	7056452	7057722	.	-	2	1889	1889_gene	1.30789270527197	5.41574365094628e-05	0.0007502184301458	NCU00821T0	NCU00821
1197_gene	1197	4733866	4733957	.	+	0	1197	1197_gene	1.10817450114063	0.0002061492435598	0.0022711580841659	NCU03152T0	NCU03152
