motif_DB	motif_ID	motif_ALT_ID	seq_ID	FASTA_score	PWM_score	class
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|1702|NCU03232T0	2014	109.03	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|8450|NCU01456T0	8762	105.595	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|8450|NCU01456T0	550	105.595	tp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|8451|NCU01456T1	8763	103.765	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|8451|NCU01456T1	551	103.765	tp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|1539|NCU03093T0	1851	94.953	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|5196|NCU00456T0	5508	67.475	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|3997|NCU08713T0	4309	63.7011	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|7609|NCU03632T0	7921	62.6303	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|3331|NCU03338T1	3643	59.9295	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|3332|NCU03338T0	3644	59.7641	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|5785|NCU04923T0	6097	46.6019	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|5785|NCU04923T0	354	46.6019	tp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|9542|NCU03914T0	9854	39.7219	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|2590|NCU16453T0	2902	39.6441	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|4508|NCU06471T0	4820	38.229	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|3656|NCU01776T0	3968	37.0445	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|5074|NCU00348T0	5386	36.9814	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|7711|NCU03741T0	8023	34.9589	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|9543|NCU03915T0	9855	31.7188	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|3750|NCU01665T1	4062	30.6552	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|7710|NCU03740T0	8022	30.4397	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|3751|NCU01665T0	4063	29.9927	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|2256|NCU00859T0	2568	29.4633	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|3298|NCU03368T0	3610	28.8756	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|7665|NCU03693T0	7977	28.6912	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|7857|NCU01024T0	8169	28.3597	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|6065|NCU09747T0	6377	27.1996	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|6683|NCU08044T0	6995	27.1671	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|8235|NCU01391T0	8547	26.9643	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|8235|NCU01391T0	535	26.9643	tp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|9401|NCU05532T0	9713	25.6421	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|4399|NCU07860T0	4711	25.2765	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|6304|NCU06360T0	6616	23.451	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|538|NCU07480T0	850	23.3636	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|11035|NCU05763T0	11347	23.1998	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|4027|NCU08744T0	4339	22.6066	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|9166|NCU04781T0	9478	22.0188	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|9768|NCU05983T0	10080	21.7742	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|462|NCU08083T0	774	21.4795	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|6138|NCU07692T2	6450	21.2123	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|6139|NCU07692T1	6451	21.1503	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|8777|NCU08953T0	9089	20.8536	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|6454|NCU04466T0	6766	20.7995	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|4446|NCU06416T0	4758	20.4071	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|10338|NCU09426T0	10650	20.0682	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|6137|NCU07692T0	6449	20.0007	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|3856|NCU01541T0	4168	19.9285	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|4509|NCU06472T0	4821	19.3207	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|958|NCU01902T0	1270	18.9489	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|10140|NCU09040T0	10452	18.7732	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|10140|NCU09040T0	654	18.7732	tp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|3890|NCU01504T0	4202	18.478	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|1915|NCU08350T0	2227	18.4449	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|8535|NCU04132T1	8847	17.6212	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|8535|NCU04132T1	562	17.6212	tp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0336.1	MGA 1	jgi|Neucr2|10660|NCU02425T1	10972	17.4321	fp
