Feature Id	Aliases	start	end	score	strand	frame	log2_fold_change	p_value	q_value	NCUT	NCU	motif_ID	motif_ALT_ID	FASTA_score	PWM_score
168_gene	168	620898	620918	.	+	0	1.45851958910511	0.000832858638316	0.0072072338613241	NCU07441T0	NCU07441				
1873_gene	1873	7005312	7005781	.	+	0	1.06938571729807	0.0016536088333257	0.0124188907584215	NCU00836T0	NCU00836	MA0362.1	RDS2	2601.0	1.43068
1149_gene	1149	4599700	4600268	.	-	2	1.26462665255609	0.0005707489813794	0.0052850537397625	NCU03112T0	NCU03112	MA0362.1	RDS2	1877.0	1.0575
1918_gene	1918	7156100	7156169	.	+	0	2.36730491163784	1.01853595204305E-25	4.08665947407333E-23	NCU00792T0	NCU00792				
1592_gene	1592	6010351	6010658	.	-	2	1.02335777714688	5.8586225628508E-07	1.64967317614442E-05	NCU07414T0	NCU07414	MA0362.1	RDS2	2320.0	1.04915
289_gene	289	1127422	1127658	.	-	0	1.66792446979563	1.66587709547053E-09	8.96623640864193E-08	NCU02136T0	NCU02136	MA0362.1	RDS2	1017.0	1.33082
856_gene	856	3122315	3123814	.	-	0	1.09968147310539	8.69606349362145E-05	0.0011067133022547	NCU02665T0	NCU02665				
1160_gene	1160	4628234	4628524	.	+	0	1.0189333154412	0.0012443938040498	0.0099455263503876	NCU03120T0	NCU03120	MA0416.1	YAP3	1889.0	1.33249
2319_gene	2319	8529635	8529660	.	-	2	1.1399430609626	0.0089957055551452	0.0473128373795332	NCU02976T0	NCU02976	MA0362.1	RDS2	3047.0	1.16364
1894_gene	1894	7076494	7076643	.	+	0	1.0174968908519	2.89660655381579E-06	6.35364720603068E-05	NCU00813T0	NCU00813				
549_gene	549	2090694	2094275	.	+	0	1.10395247782307	4.91073798179445E-06	9.575012510163E-05	NCU01901T0	NCU01901				
820_gene	820	2990412	2992844	.	-	0	2.08802614737455	1.51801242647482E-06	3.72616161881016E-05	NCU02630T0	NCU02630				
1971_gene	1971	7352489	7352590	.	-	0	1.26724353015084	1.11165361562823E-06	2.87195711597554E-05	NCU00743T0	NCU00743				
339_gene	339	1308488	1309242	.	-	2	1.67095152809343	3.79250375463217E-05	0.0005543385261721	NCU02095T0	NCU02095				
2633_gene	2633	9764570	9765141	.	+	0	1.74299533068908	5.73974250018045E-08	2.10335102825762E-06	NCU10028T0	NCU10028	MA0362.1	RDS2	3361.0	1.01907
1136_gene	1136	4553583	4553596	.	+	0	1.74273520368841	8.46238873048236E-09	3.86948341330994E-07	NCU03100T0	NCU03100	MA0362.1	RDS2	1864.0	1.16039
1959_gene	1959	7303582	7304606	.	-	2	2.4065990866269	4.78626120644914E-06	9.36765592944043E-05	NCU00754T0	NCU00754				
1889_gene	1889	7056452	7057722	.	-	2	1.30789270527197	5.41574365094628E-05	0.0007502184301458	NCU00821T0	NCU00821	MA0362.1	RDS2	2617.0	1.49803
1197_gene	1197	4733866	4733957	.	+	0	1.10817450114063	0.0002061492435598	0.0022711580841659	NCU03152T0	NCU03152				
130_gene	130	491910	493376	.	-	0	1.5739608145768	2.01459288648683E-05	0.0003263135249052	NCU07478T0	NCU07478				
812_gene	812	2954772	2955411	.	+	0	1.80041048545732	5.11778962812052E-15	7.77753500249962E-13	NCU02623T0	NCU02623				
1719_gene	1719	6546116	6547618	.	+	0	1.07400369218956	0.0017888252204705	0.0132229755567545	NCU00968T1	NCU00968				
2141_gene	2141	7914550	7916202	.	+	0	1.14516255760963	1.53790963768238E-08	6.61367920993854E-07	NCU00587T0	NCU00587				
2301_gene	2301	8479371	8481382	.	-	2	1.01365289278476	0.0015634524186277	0.0119237766008111	NCU02996T0	NCU02996				
694_gene	694	2626778	2627058	.	-	2	1.63928256451115	3.73643063801751E-10	2.35440696422396E-08	NCU02526T0	NCU02526				
1479_gene	1479	5594146	5596404	.	+	0	1.8541602537918	6.35952460191446E-05	0.0008602006182746	NCU08371T0	NCU08371				
2146_gene	2146	7921219	7922080	.	-	1	1.55356859066849	2.90695281398875E-08	1.16888911983501E-06	NCU00585T0	NCU00585	MA0362.1	RDS2	2874.0	1.66839
574_gene	574	2172002	2173444	.	-	0	3.14427640048032	0.000960585171361	0.0080508411685683	NCU01880T0	NCU01880				
1144_gene	1144	4588742	4589068	.	+	0	1.11662644504114	2.55043229470744E-06	5.71717295737672E-05	NCU03108T0	NCU03108	MA0362.1	RDS2	1872.0	1.32133
163_gene	163	598151	598183	.	+	0	1.10312858071001	4.41572341299739E-12	4.34591292856334E-10	NCU07446T0	NCU07446				
1718_gene	1718	6546116	6547618	.	+	0	1.11320564295013	0.0015287438898811	0.0117283142969796	NCU00968T2	NCU00968				
2198_gene	2198	8088235	8089255	.	+	0	1.09336555199927	0.002684656778445	0.0183487057860128	NCU00538T0	NCU00538				
705_gene	705	2651611	2653212	.	-	0	3.06607051600981	0.0019478018211011	0.0141286857120913	NCU02535T0	NCU02535	MA0362.1	RDS2	1433.0	1.21968
919_gene	919	3324049	3324201	.	-	0	1.16304698737524	4.89908992669758E-06	9.57035828024439E-05	NCU02723T0	NCU02723				
139_gene	139	536393	536446	.	+	0	1.15344740982972	3.49879829170083E-08	1.35926998294874E-06	NCU07467T0	NCU07467				
63_gene	63	234958	235448	.	-	2	1.22093128326801	4.35307574729769E-06	8.63429650145381E-05	NCU08092T0	NCU08092				
2158_gene	2158	7954255	7955670	.	-	0	1.36850717858865	2.35012315455799E-07	7.38181540401284E-06	NCU00575T0	NCU00575	MA0362.1	RDS2	2886.0	1.91206
2142_gene	2142	7914550	7916202	.	+	0	1.19555498460127	6.8977123329032E-10	4.09660685334607E-08	NCU00587T1	NCU00587				
765_gene	765	2808970	2809176	.	+	0	1.07209738307594	0.0020733401667229	0.014837879004789	NCU02583T0	NCU02583				
1688_gene	1688	6463858	6464449	.	+	0	6.53695368617695	0.0030162916169598	0.0200521667100735	NCU00993T0	NCU00993				
2238_gene	2238	8218069	8218871	.	+	0	1.13310141786374	0.0067414922326542	0.0381316807510943	NCU00499T0	NCU00499				
2038_gene	2038	7573217	7573502	.	+	0	1.04813979209502	3.71851721024376E-07	1.101064666208E-05	NCU00682T0	NCU00682				
1972_gene	1972	7360943	7362517	.	+	0	1.35038622241426	0.0001280772934248	0.001523073360475	NCU00742T0	NCU00742	MA0362.1	RDS2	2700.0	1.12261
1530_gene	1530	5777647	5777728	.	+	0	1.11335301155753	8.69666751777405E-07	2.33432109425135E-05	NCU09192T0	NCU09192	MA0362.1	RDS2	2258.0	1.07403
2256_gene	2256	8331555	8332120	.	+	0	1.42353413973698	3.76034793273524E-06	7.6797303432581E-05	NCU03043T0	NCU03043	MA0416.1	YAP3	2984.0	1.83242
466_gene	466	1804323	1805195	.	-	0	10.2515276810913	4.27298889962753E-11	3.56105381360895E-09	NCU01976T1	NCU01976				
1740_gene	1740	6598347	6598572	.	-	1	1.39653167562099	1.0017007455165E-05	0.0001769500086182	NCU00951T0	NCU00951	MA0362.1	RDS2	2468.0	1.50157
