motif_DB	motif_ID	motif_ALT_ID	seq_ID	FASTA_score	PWM_score	class
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|11113|NCU10954T0	11431	9.2319	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|10098|NCU09448T0	10416	8.604	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|2030|NCU07390T0	2348	7.5572	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|467|NCU08089T0	785	6.54646	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|10819|NCU02300T0	11137	6.19295	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|11044|NCU05768T0	11362	6.18333	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|6203|NCU08311T0	6521	6.03329	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|4385|NCU07847T0	4703	5.56024	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|8166|NCU01326T0	8484	5.51709	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|5914|NCU07912T0	6232	5.43045	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|2385|NCU00739T0	2703	5.39811	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|4079|NCU08442T0	4397	5.38029	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|8722|NCU04317T0	9040	5.33764	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|8515|NCU04114T0	8833	5.13964	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|3514|NCU06784T0	3832	5.11046	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|10104|NCU09453T0	10422	5.10198	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|2637|NCU00510T0	2955	5.00378	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|7347|NCU09835T0	7665	4.96196	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|6941|NCU07038T0	7259	4.91291	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|9432|NCU05507T0	9750	4.90937	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|5765|NCU16741T0	6083	4.67763	fp
motif_db/JASPAR/JASPAR2022_CORE_fungi_non-redundant_v2.meme	MA0362.1	RDS2	jgi|Neucr2|8031|NCU01201T0	8349	4.50505	fp
